source_id,ra,dec,magnitude
3559076262454264832,167.30155179826403,-17.53468481629305,11.400866
3559343306340150656,166.20422312878603,-16.91200998139153,11.431035
3559566129244362112,168.80883171479516,-16.43683620931936,11.96746
3559570080614354176,169.2027472373546,-16.53868146576709,11.366284
3559611896415810048,168.60602653289416,-16.449952010552103,11.603292
3559753389818309632,169.29212784513268,-15.779379796440303,11.7067585
3560122447768490496,171.61192968827214,-16.592744184666994,10.427975
3560142135898374144,172.18707389422784,-16.357226240441,11.911065
3560212367203808000,171.80988355000494,-16.062588326324086,10.977611
3560272599825745152,172.55986307289257,-15.968611206130348,11.757477
3560309394808549376,172.05475585795853,-15.886282214110889,7.1824784
3560440309707723136,171.2067020616937,-15.610335211478766,11.664461
3560483568616852352,170.89211133803883,-15.610384416423003,11.91912
3560505730649443328,170.54718611905048,-15.409039091330705,11.906528
3560606335963367296,171.08027783290586,-15.174213083432234,11.898069
3560619289584741248,171.1184997247334,-14.96978844302459,11.0588665
3560979723240671488,172.542319954431,-14.67575840636299,11.901346
3561407158385770112,171.42633227017222,-14.537330917031582,7.409516
3561592907129429888,168.9297404604479,-14.502770234164737,10.544803
3561628400739320064,169.39688373431093,-14.20643146843135,10.74007
3561761093753766528,170.4382563289815,-13.546158014903089,11.207021
3561968562150796032,172.63588499993162,-13.302696335659919,9.564901
3562007972770594560,172.13627370659762,-13.23574794537339,11.866052
3562038449858536448,172.22311266296305,-13.022856722716476,11.047398
3562163965982445696,170.44616694577888,-13.177788372809134,11.245896
3562458119702444544,165.87786496262027,-16.177008470967866,10.204559
3562662663224841984,165.23951251912098,-15.792847592829208,6.6001496
3562931665616302208,167.2104343198479,-15.38100743764942,11.080578
3562987843788837632,167.02730672126785,-15.186655842324134,11.005484
3563173592534500096,168.2205933328761,-14.07739929019877,11.071356
3563211800563426176,166.53686814818772,-14.832350382781827,11.412125
3563262137580384768,166.30046396009598,-14.760906564416825,11.206607
3563322782518610688,166.42694399389134,-14.0975038234867,11.498481
3563447439648973440,167.54900771904053,-13.653266493415577,11.674466
3563816944275395712,164.2480217912163,-14.41254664054739,11.767917
3564392225079159552,164.95398088077997,-13.354155004913865,9.845215
3564466308970911232,165.92315630718196,-13.006357469322607,11.281414
3564505925749308416,166.48598426823276,-12.64440355525503,11.927501
3564652710551841408,168.94480376167382,-13.951640698745512,9.885372
3564792279808152832,169.99845471173762,-13.13564374486482,11.013507
3564803137486077312,169.79117783867866,-13.157481468467488,10.434149
3564875121137887616,169.5037976213489,-12.802365646366981,11.864041
3564996784675620992,168.2313665108837,-12.987043762340098,10.898526
3565143195816883072,168.94894438129265,-12.251995824975044,11.063934
3535710987529606528,164.88334623534737,-25.716540139639722,10.510818
3535727823801549568,165.33591633859515,-25.56184183960521,11.928442
3535855538948841088,165.9428447881236,-25.15362479570563,11.340972
3536153644038270720,167.83330686821455,-24.409685808407335,10.484088
3536325202212717824,167.39555212538406,-24.311778290445794,11.963439
3536412785185098880,166.96174024544104,-23.800273190981702,9.899704
3536443601574274688,167.4043292417122,-23.549950060428817,9.159118
3536496794746234112,165.0124369742245,-25.380717869033013,11.224406
3536650039179190528,165.31395402019783,-24.636338627402846,11.6486845
3536867295804036992,163.89827435473157,-24.197182374446445,10.940566
3537014561643589248,165.9362679888097,-24.61653073791509,10.237123
3537110837630877568,165.39936119816346,-23.860954772843467,10.546549
3537133893014925824,166.07474366625354,-23.66362520876331,10.62468
3537216425106220800,166.82176938864637,-23.202188609178332,11.607658
3537441996788062336,165.8646475211184,-23.167037547000895,10.763272
3537468350707328640,165.91141798687067,-22.816082811517695,9.586042
3537548786854785792,165.84637397614077,-22.45247856647262,10.675546
3537598367957886208,168.70221213353415,-24.268435010212542,11.971934
3537786075208201344,169.72952526505063,-23.116854595594017,9.607815
3537806587971846272,168.9050204198662,-23.43219319061418,11.245708
3538257559538332160,170.46511092259684,-22.384326250798882,11.003916
3538355759670739712,170.56672300526228,-22.150270090503653,10.960732
3538359539241922048,170.44142511990577,-22.105239750178537,7.2879543
3538739626666424448,167.7261212500856,-22.898388664314414,11.265701
3538777353660703872,167.0148539746,-22.83963745767365,8.882284
3538946059976329216,167.65957845429378,-21.859935489189073,10.867538
3538987703978114432,166.75247523848603,-22.52769786170098,11.373739
3539110574402381568,166.5267188713937,-21.740346768730618,11.530437
3539130399971851008,167.23728927951737,-21.893047423631202,9.686863
3539258664875165696,167.29193469432073,-21.010093793573784,11.827354
3539276050903136256,168.9412755669808,-21.778918973084725,11.95315
3539309482928587264,169.07372303513375,-21.45587255586304,11.878348
3539324395054984448,168.8775486084109,-21.37955730757224,10.29273
3539782238568841088,168.1036755576398,-20.100232150296154,10.942905
3539809485841009024,168.83862297812598,-19.71600739126241,11.850939
3539827249825749760,168.7737131608046,-19.60692696810629,8.875319
3544570886585230720,171.90089480198313,-20.679598091069945,11.932977
3544578548806896768,171.88850756243153,-20.484032912168377,11.61249
3544628610944481920,170.98266205454053,-21.046282749630343,11.570956
3545342400150820608,172.8157055947344,-19.124987856204733,9.927019
3545350509048797312,172.88316107222215,-18.99272669206153,10.218835
3545476884167358080,169.97609805315992,-20.520899030077196,11.750239
3545528114537386752,170.46747560118428,-19.88769023019994,11.423293
3545544985168828032,169.9790402632864,-20.05672907512588,10.8656225
3545559966014673280,169.72124705444938,-20.021808652787204,11.848038
3545656138920564096,171.0834943292157,-19.436741414898037,11.053828
3545690155063326848,170.42823453475344,-19.48922547981663,11.334556
3545926584423290752,170.63220083878662,-18.894237791415208,10.449542
3545951357794636928,170.5069723731086,-18.537392542720067,11.133501
3546216580614912768,172.40367597742684,-18.286311146340832,10.009227
3546332372931208448,170.99068038155605,-18.392421375118044,10.429778
3547978582357574912,173.60831844022908,-16.599505168139085,11.901482
3547999331345345280,172.30767429927695,-17.351162173257126,8.208201
3548125126641948160,172.21755902419676,-16.594896240740457,7.7961354
3548215424035106688,172.8618431694175,-16.344352830325597,10.445737
3548227724820924032,172.4118354064602,-16.300575954734864,11.748041
3548785520813226624,173.87031752609332,-15.138980799712677,9.436442
3548845169317313536,163.13215849395056,-24.329772352633942,11.76567
3548930759427124736,162.53330507901288,-23.92121391159142,10.907423
3549019785509246464,164.22795116064495,-23.402610286234385,9.480897
3549416571767547008,164.7013492201384,-22.887132154975582,10.216088
3549572221382525824,165.1157771694146,-22.19652273235097,10.8159895
3549730516697183232,164.2147676850974,-22.03372451180565,7.971274
3549767522135655680,163.67665808513618,-21.9531320836045,10.22506
3549812773911074944,163.66662050967014,-21.5665222451514,10.466014
3550030717731581440,162.09317422648408,-22.47371987144299,9.795089
3550045492418641280,161.62890963269885,-22.649365660951332,11.725294
3550125447529812096,162.1488726011952,-22.381989358753316,10.927
3550213889496653312,162.3963243501831,-21.848213681177235,11.05983
3550318205662290432,160.75580706298572,-22.153215761884997,11.481786
3550593049209569152,163.37994245282306,-21.20947858099378,11.654051
3550629814129479808,162.73152679548807,-21.17951356301319,11.844593
3550765947412888192,163.5749237203761,-20.575999395751538,11.621685
3550873355955267712,162.7352872024499,-20.6156362251677,10.832194
3550959530179572224,163.43706082084014,-20.412287898538978,11.232608
3551130916554243712,166.31717150648853,-21.473471948400622,11.168665
3551131844266723200,166.29105637495525,-21.42413356153791,11.217068
3551559657369024256,166.42797610072677,-20.102110568353577,10.006427
3551747021022648064,166.7705036441956,-20.03726847941421,10.210423
3551886865157458944,167.50843431619197,-19.422737602773314,11.35702
3551912600601608320,168.15370389881932,-19.117146835081304,11.530709
3552094397977504896,167.23351084203318,-19.17458102581344,11.646865
3552121095494327168,167.88676912950336,-18.8429171908395,11.90643
3552123431956503936,167.73142401365286,-18.819044333771327,11.874468
3552295265007810944,164.3789407561484,-20.139118190791123,11.827941
3552347320011459968,164.47383353141245,-19.735526792084478,9.826081
3552605773963788544,163.76661596917194,-19.35673346792789,11.492703
3552606873475416704,163.7221589215549,-19.32464763409371,9.308507
3552686381909933440,164.92056958138733,-18.817823724598934,10.92136
3552855775419761920,165.59466064701792,-18.909837896134977,11.574244
3553104952242601728,165.87161357817146,-18.26319714649338,11.831072
3553122441348356224,165.6863659527648,-18.10539622807408,11.418015
3553233526383181184,165.8796877610408,-17.684502621651575,11.606607
3553233904340305920,165.90164447688662,-17.646309274825523,11.62729
3553239986014159488,166.23291125546007,-17.72122827546561,11.872243
3553240707568576256,166.2021948770424,-17.71674532769141,11.832091
3553356637326849664,160.45384509996188,-21.634032548453302,10.955238
3553406424587430784,160.5455407235683,-21.262080600152867,11.613261
3553427830704286208,160.13463290647078,-21.262372366447817,11.404072
3553448549626668928,160.46583686990877,-21.238199442753853,10.688521
3553465248459378048,160.11197268304264,-21.103085138110995,10.967083
3553504659079178880,160.79002263741356,-21.024750055849243,10.880381
3553504659079179008,160.7895721071003,-21.02435682781879,10.766798
3553550353234401792,161.34435720033326,-20.495881687716818,11.356086
3553581762330299008,160.73920568993378,-20.5448117079208,11.802866
3553723255733948288,159.16934587683824,-20.601323665112282,10.279458
3553753286145316736,159.4184146914788,-20.298675619254677,8.629444
3553817263978009344,160.48548115473548,-20.116815028414532,11.298301
3553823654889352960,160.4772563086095,-19.983894824968246,11.644148
3553965354449985280,162.15251578559733,-20.021456127657483,11.873608
3553968618626194304,162.17720982071182,-19.912743810024544,11.755091
3554076645643525248,162.32435207529122,-19.58084772294923,10.493031
3554116709098133120,162.12428740144153,-19.666693321021498,10.923187
3554350492757764736,161.57784035271854,-19.049349609853365,11.772765
3554406842728696064,161.63650887892538,-18.874048329584824,7.6986356
3554457729501193344,161.71972138099676,-18.461192992754672,10.360004
3554614994023735168,159.6065529512602,-19.860963814759792,10.980982
3554636537579658624,159.64973335909707,-19.633344789717427,9.808275
3554757140261399040,158.41236400726484,-19.865012014412134,10.424753
3554894338696822016,158.80882168478257,-19.284990948888755,10.952319
3555011093087524864,159.06565265850784,-18.418356793695146,10.456179
3555026314451546752,158.8176189731232,-18.345851987564416,10.203177
3555258998599725184,160.4684774968493,-18.284310826914925,10.843671
3555267382375904384,160.67993126016245,-18.118526176009794,11.881556
3555293461417380608,160.87140798296014,-17.9942719836793,10.653646
3555339675265736320,159.73617747134415,-18.373984617317618,11.424395
3555441414450963584,159.41368631746738,-17.82071042533061,8.542079
3555542122844017280,159.93521973791042,-17.57459024105528,11.687186
3555567995727077504,160.55225126058633,-17.32183966211667,9.104542
3555649084709780864,163.2155477548119,-18.90653601363363,10.969638
3556215814234229248,164.6536603876804,-17.481420458489207,11.921281
3556317690858323200,164.976934132372,-17.31694321842632,8.452042
3556353734223925504,165.37065304200155,-16.94646043349558,7.710326
3556464338221993088,163.7937901215732,-17.163632728598884,11.895777
