t,x,y,p
25097,1109,239,1
25098,281,317,1
25109,693,211,1
25110,325,392,1
25111,38,672,1
25120,425,377,1
25129,431,685,1
25137,1180,643,1
25139,233,309,1
25198,481,494,1
25219,830,605,1
25221,843,300,1
25238,87,465,1
25248,1040,102,1
25263,845,464,1
25286,794,375,1
25296,1263,429,1
25297,1029,71,1
25301,1235,650,1
25301,1235,650,1
25302,275,492,1
25305,817,400,1
25307,427,306,1
25311,190,92,1
25312,931,524,1
25312,931,524,1
25322,638,155,1
25327,1149,474,1
25329,648,498,1
25331,751,497,1
25333,1038,58,1
25337,295,635,1
25344,1209,591,1
25346,558,97,1
25347,337,158,1
25350,1202,701,1
25376,1071,546,1
25376,1071,546,1
25387,95,16,1
25413,965,700,0
25422,273,495,1
25423,355,570,1
25424,819,582,1
25426,968,554,1
25432,751,162,1
25441,272,490,1
25454,198,335,1
25514,711,519,1
25514,711,519,1
25515,892,537,1
25516,571,528,1
25578,347,4,1
25598,965,700,1
25599,236,333,1
25600,1220,683,1
25604,621,387,1
25609,797,487,1
25613,1160,254,1
25631,554,456,1
25631,554,456,1
25646,448,77,1
25661,251,628,1
25697,841,549,1
25728,1106,38,1
25747,272,494,1
25750,213,240,1
25760,1049,149,1
25790,223,34,1
25790,1193,712,1
25804,1066,437,1
25806,1136,172,1
25809,1269,483,1
25818,602,593,1
25822,1162,387,1
25823,416,457,1
25846,939,3,1
25905,844,466,1
25905,667,420,1
25909,639,143,1
25910,414,89,1
25910,958,153,1
25926,575,648,1
25928,338,677,1
25932,933,207,1
25936,272,561,1
25950,465,370,1
25963,372,647,1
25972,180,595,1
25975,691,622,1
25979,1234,657,1
26020,827,523,1
26029,270,496,0
26069,830,265,1
26080,81,435,1
26089,1232,131,1
26092,794,397,1
26152,68,40,1
26156,155,8,1
26184,760,479,1
26189,272,491,1
26189,269,503,1
26193,910,663,1
26282,26,333,1
26317,1018,293,1
26361,307,593,1
26417,435,355,1
26428,858,390,1
26428,858,390,1
26442,1102,228,1
26442,1102,228,1
26472,978,381,1
26552,1082,690,1
26555,567,669,1
26580,893,22,1
26626,249,279,1
26629,1032,532,1
26631,497,612,1
26637,263,499,1
26648,268,504,1
26676,274,492,1
26717,904,107,1
26741,1045,151,1
26745,371,611,1
26755,897,706,1
26776,972,315,1
26783,870,280,1
26789,256,655,1
26801,1041,13,1
26812,239,165,1
26887,610,615,1
26897,983,612,1
26918,390,382,1
26927,814,58,1
26932,308,64,1
26932,308,64,1
26932,872,563,1
26939,34,420,1
26952,56,430,0
26974,189,55,1
26985,494,224,1
26993,109,354,1
26994,848,474,1
27019,1180,7,1
27027,896,61,0
27053,1183,275,1
27064,143,325,1
27080,863,273,1
27080,152,32,1
27095,573,252,1
27102,23,365,1
27109,726,682,1
27189,1252,637,1
27189,885,136,1
27219,147,654,1
27261,384,627,1
27326,846,157,1
27366,789,173,1
27377,706,701,1
27389,812,311,1
27395,269,495,0
27397,1226,703,1
27402,459,550,1
27404,427,515,1
27407,79,42,1
27421,35,223,1
27430,1056,650,1
27432,423,129,1
27451,400,346,1
27454,819,483,1
27456,464,60,1
27465,344,514,1
27468,408,635,1
27473,640,244,1
27483,399,22,1
27499,904,632,1
27512,23,374,1
27520,273,500,1
27541,1188,370,1
27561,488,711,1
27576,101,617,0
27580,177,148,1
27583,691,382,1
27584,267,662,1
27628,513,613,1
27668,461,140,1
27678,367,110,1
27706,661,672,1
27717,888,403,1
27722,694,467,1
27728,574,236,1
27729,574,236,1
27736,1169,78,1
27753,1137,51,1
27757,826,306,1
27773,622,419,1
27774,1012,660,1
27774,1012,660,1
27774,1090,324,1
27776,229,388,1
27782,686,579,1
27790,467,33,1
27794,420,535,1
27794,420,535,1
27796,1019,558,1
27801,1045,335,1
27808,700,523,1
27810,1066,311,1
27813,97,592,1
27813,351,162,1
27817,382,393,1
27822,1157,364,1
27831,119,668,1
27834,273,491,1
27838,558,480,1
27841,587,575,1
27849,1252,505,1
27852,1009,230,1
27862,1096,386,1
27863,579,529,1
27863,1103,504,1
27893,1170,248,1
27901,411,493,0
27911,741,63,1
27925,529,654,1
27925,529,654,1
27933,1131,45,1
27933,1131,45,1
27937,896,61,1
27953,851,610,1
27977,274,491,1
27982,455,434,1
28012,154,18,1
28043,1096,590,1
28043,1097,479,1
28043,918,243,1
28044,1002,370,1
28046,640,503,1
28048,768,480,1
28050,1167,451,1
28050,241,140,1
28050,151,504,1
28051,828,523,1
28051,653,323,1
28057,1213,183,1
28059,1077,499,1
28060,546,216,1
28065,212,695,1
28066,761,45,1
28068,600,508,1
28068,600,508,1
28099,338,193,1
28099,402,131,1
28112,239,598,1
28115,1056,247,1
28122,438,638,1
28126,83,402,1
28129,264,500,1
28136,801,261,1
28139,266,489,1
28148,84,450,1
28180,77,340,1
28185,705,622,1
28206,983,669,1
28221,1265,545,1
28222,1265,545,1
28224,718,38,1
28261,840,37,1
28274,1025,487,1
28275,781,474,1
28282,609,74,1
28284,101,617,1
28286,172,7,1
28290,1165,715,1
28294,1271,520,1
28299,1186,674,1
28301,796,543,1
28310,365,581,1
28310,210,403,1
28313,880,176,1
28315,103,655,1
28346,1265,555,1
28346,895,627,1
28407,1140,457,1
28445,41,584,1
28445,611,665,1
28449,461,658,1
28461,1040,136,1
28462,411,493,1
28502,704,49,1
28504,154,233,1
28504,154,233,1
28525,219,60,1
28551,994,200,1
28553,912,128,1
28554,1168,675,1
28572,861,297,1
28578,355,149,1
28578,56,663,0
28581,1141,80,1
28583,828,621,1
28599,884,324,1
28601,547,668,1
28602,1106,336,1
28604,36,510,1
28604,36,510,1
28627,112,354,1
28644,1057,157,1
28650,396,503,1
28658,619,38,1
28658,619,38,1
28661,1128,717,1
28665,1,543,1
28665,1,543,1
28673,1168,334,1
28677,342,640,1
28682,180,118,1
28706,1177,486,1
28709,22,300,1
28710,650,242,1
28710,186,217,1
28712,321,193,1
28714,843,711,1
28714,192,430,1
28720,360,649,1
28732,1213,249,1
28755,997,158,1
28760,1050,628,1
28762,522,608,1
28798,834,50,1
28800,350,30,1
28801,879,158,1
28809,237,466,1
28811,1010,499,1
28823,276,660,1
28834,981,671,1
28892,25,182,1
28913,326,26,1
28958,148,191,1
28958,148,191,1
28977,411,493,1
28978,411,493,1
29002,506,512,1
29008,135,300,1
29008,135,300,1
29018,794,144,1
29047,1258,234,1
29049,219,11,1
29058,985,32,1
29080,438,465,1
29086,945,714,1
29089,1256,608,1
29090,70,114,1
29092,261,498,1
29097,457,159,1
29097,41,27,1
29105,1079,164,1
29106,10,327,1
29111,72,258,1
29124,932,181,1
29128,969,210,1
29144,1278,96,1
29144,50,390,1
29168,1133,581,1
29213,91,23,1
29230,634,152,1
29235,769,34,1
29253,1112,380,1
29256,1236,466,1
29258,322,676,1
29259,589,262,1
29268,1267,469,1
29271,765,392,1
29274,1149,414,1
29284,934,604,1
29284,868,367,1
29290,130,173,1
29333,512,632,1
29335,7,153,1
29351,611,159,1
29353,945,25,1
29374,225,66,1
29374,225,66,1
29387,276,498,1
29397,455,679,1
29399,1094,643,1
29445,955,245,1
29447,697,431,1
29452,314,664,1
29454,689,99,1
29454,689,99,1
29475,796,617,1
29477,940,43,1
29483,357,377,1
29526,270,496,0
29532,525,15,1
29533,989,251,1
29554,39,441,1
29560,439,485,1
29584,1156,544,1
29624,1103,77,1
29639,575,487,1
29644,779,301,1
29650,1212,605,1
29673,972,456,1
29676,1118,617,1
29695,496,697,1
29707,1009,607,1
29711,591,20,1
29714,1262,432,1
29715,794,642,1
29760,295,404,1
29764,1068,375,1
29765,1237,227,1
29765,1237,227,1
29766,846,190,1
29808,401,524,1
29810,252,83,1
29815,266,494,1
29816,1139,340,1
29819,985,704,1
29824,583,636,1
29829,142,449,1
29837,269,496,0
29840,1118,30,1
29845,616,537,1
29871,426,333,1
29872,242,488,1
29875,489,420,1
29876,399,688,1
29902,383,687,1
29951,309,204,1
29953,528,435,1
29967,358,673,1
29985,27,451,1
29987,289,338,1
29988,815,141,1
29996,502,89,1
29998,1149,712,1
30006,319,612,1
30018,729,442,1
30019,741,173,1
30025,270,495,0
30027,1123,162,1
30031,263,490,1
30055,116,90,1
30056,162,96,1
30073,222,217,1
30074,794,470,1
30077,1042,380,1
30078,495,329,1
